FALL 2018 MATHEMATICS SCHEDULE v15 edits 3.19.2018,,,,,,,,,,,,,,,,,,
Class,Sec,Class #,Days,Start Time,End Time,Bldg,Rm,Rm Cap,Enroll Cap,Instructor,Category,Teach(12),Recitation(3),Assist(6),Lab(6),Assistant or Notes,Check enroll cap CSM opens all sections END FEB,In CC. 3.6.18
51H,1,13798,TR,2:00 PM,3:15 PM,PH,228,34,24,"CAMASSA, ROBERTO",,,,,,TR   FYS,,
62H,1,8730,TR,9:30 AM,10:45 AM,PH,328,42,24,"CHEREDNIK, IVAN",,,,,,RE-ADD.,FORMSTACK SUCCESSFUL. 3.8.18,
,,,,,,,,,,,,,,,,,,
110,1,1953,MWF,8:00 AM,8:50 AM,PH,335,72,45,,teach,1,,,,Reserve Cap/ Check enroll cap CSM opens,,
110,2,1955,MWF,9:05 AM,9:55 AM,PH,332,72,45,"GREEN, LINDA",,,,,,MWF/Reserve Cap/ Check enroll cap CSM opens,110 coordinator,
110,3,7802,MWF,10:10 AM,11:00 AM,PH,332,72,45,,teach,1,,,,Reserve Cap/ Check enroll cap CSM opens,,
110,4,9304,MWF,11:15 AM,12:05 PM,PH,332,72,45,,teach,1,,,,Reserve Cap/ Check enroll cap CSM opens,,
110,5,10440,MWF,1:25 PM,2:15 PM,PH,332,72,45,,teach,1,,,,Reserve Cap/ Check enroll cap CSM opens,,
110,6,11255,MWF,2:30 PM,3:20 PM,PH,332,72,45,,teach,1,,,,Reserve Cap/ Check enroll cap CSM opens,,
,,,,,,,,,,,,,,,,,,
116,1,1968,TR,2:00 PM,3:15 PM,PH,224,35,30,,teach,1,,,,,,
,,,,,,,,,,,,,,,,,,
118,1,1972,MWF,11:15 AM,12:05 PM,PH,385,42,35,,teach,1,,,,Reserve Cap,,
118,2,8728,TR,12:30 PM,1:45 PM,PH,328,42,35,,teach,1,,,,Reserve Cap,,
118,4,1973,MW,1:25 PM,2:15 PM,PH,215,148,120,"MCCOMBS, MARK",,,,,,MWF/Reserve Cap,"118 coordinator/ Double booked! If drop 58, then this works for Mark's schedule. ",
R,600,13829,F,1:25 PM,2:15 PM,PH,383,42,35,"MCCOMBS, MARK",,,,,,,,
R,601,13830,F,9:05 AM,9:55 AM,PH,367,40,35,,recitation,,1,,,,,
R,602,13831,F,10:10 AM,11:00 AM,GA,209,38,35,,recitation,,1,,,GA=Gardner,,
R,603,13832,F,2:30 PM,3:20 PM,PH,335,72,35,,recitation,,1,,,,Room change perhaps?????,
,,,,,,,,,,,,,,,,,,
119,1,1974,TR,2:00 PM,3:15 PM,PH,367,40,30,,teach,1,,,,Reserve Cap,,
119,2,1975,MWF,1:25 PM,2:15 PM,PH,367,40,30,,teach,1,,,,,,
,,,,,,,,,,,,,,,,,,
130,1,1984,MWF,9:05 AM,9:55 AM,PH,335,72,60,,teach,1,,,,MWF/Reserve Cap,,
130,2,1989,MWF,10:10 AM,11:00 AM,PH,335,72,60,,teach,1,,,,Reserve Cap,,
130,3,1997,MWF,11:15 AM,12:05 PM,PH,335,72,60,"THOMAS, MIRANDA",,,,,,Reserve Cap,130 coordinator,
130,4,1998,MWF,12:20 PM,1:10 PM,PH,335,72,60,,teach,1,,,,Reserve Cap,,
130,5,9006,MWF,1:25 PM,2:15 PM,PH,335,72,60,,teach,1,,,,Reserve Cap,,
,,,,,,,,,,,,,,,,,,
152,1,1977,MWF,2:30 PM,3:20 PM,PH,385,42,35,,teach,,,,,Reserve Cap,,
,,,,,,,,,,,,,,,,,,
231,1,2046,MWF,11:15 AM,12:05 PM,MU,116,171,120,TBD FACULTY,,,,,,Reserve Cap/MU=Murphy,,
231,600,10871,R,8:00 AM,8:50 AM,PH,332,62,30,,recitation,,1,,,,,
231,601,10872,R,9:30 AM,10:20 AM,PH,228,34,30,,recitation,,1,,,,,
231,602,10873,R,11:00 AM,11:50 AM,PH,332,62,30,,recitation,,1,,,,,
231,603,10874,R,12:30 PM,1:20 PM,PH,381,42,30,,recitation,,1,,,,,
231,604,10875,R,2:00 PM,2:50 PM,PH,383,42,30,,recitation,,1,,,,,
231,2,2047,MWF,12:20 PM,1:10 PM,PH,215,148,120,"MCCOMBS, MARK",,,,,,MWF/Reserve Cap,,
231,605,10876,T,8:00 AM,8:50 AM,PH,332,62,30,,recitation,,1,,,,,
231,606,10877,T,9:30 AM,10:20 AM,PH,381,42,30,,recitation,,1,,,,,
231,607,10878,T,11:00 AM,11:50 AM,PH,228,34,30,,recitation,,1,,,,,
231,608,10879,T,12:30 PM,1:20 PM,PH,381,42,30,,recitation,,1,,,,,
231,609,10880,T,2:00 PM,2:50 PM,PH,383,42,30,,recitation,,1,,,,,
231,3,2048,TR,11:00 AM,12:15 PM,PH,215,148,120,"JONES, CHRIS",,,,,,TR/Reserve Cap,,
231,610,10891,M,8:00 AM,8:50 AM,PH,332,62,30,,recitation,,1,,,,,
231,611,10892,M,9:05 AM,9:55 AM,PH,228,34,30,,recitation,,1,,,,,
231,612,10893,M,10:10 AM,11:00 AM,PH,383,42,30,,recitation,,1,,,,,
231,613,10894,M,11:15 AM,12:05 PM,PH,381,42,30,,recitation,,1,,,,,
231,614,10895,M,12:20 PM,1:10 PM,DE,402,30,30,,recitation,,1,,,,,
231,4,2049,TR,12:30 PM,1:45 PM,PH,215,148,120,"HUANG, JINGFANG",,,,,,TR/Reserve Cap,,
231,615,10896,F,8:00 AM,8:50 AM,PH,332,62,30,,recitation,,1,,,,,
231,616,10897,F,9:05 AM,9:55 AM,PH,224,35,30,,recitation,,1,,,,,
231,617,10898,F,10:10 AM,11:00 AM,PH,385,42,30,,recitation,,1,,,,,
